,index,match_id,home_team,away_team,match_date,season
0,23,303470,Real Madrid,Barcelona,2020-03-01,2019/2020
1,3,303596,Barcelona,Real Madrid,2019-12-18,2019/2020
2,64,16196,Real Madrid,Barcelona,2019-03-02,2018/2019
3,77,9924,Barcelona,Real Madrid,2018-05-06,2017/2018
4,70,9736,Real Madrid,Barcelona,2017-12-23,2017/2018
5,105,267569,Real Madrid,Barcelona,2017-04-23,2016/2017
6,125,267076,Barcelona,Real Madrid,2016-12-03,2016/2017
7,139,267533,Barcelona,Real Madrid,2016-04-02,2015/2016
8,164,266424,Real Madrid,Barcelona,2015-11-21,2015/2016
9,175,267183,Barcelona,Real Madrid,2015-03-22,2014/2015
10,184,267085,Real Madrid,Barcelona,2014-10-25,2014/2015
11,232,265857,Real Madrid,Barcelona,2014-03-23,2013/2014
12,223,70293,Barcelona,Real Madrid,2013-10-26,2013/2014
13,245,70272,Real Madrid,Barcelona,2013-03-02,2012/2013
14,261,70300,Barcelona,Real Madrid,2012-10-07,2012/2013
15,283,69324,Barcelona,Real Madrid,2012-04-21,2011/2012
16,293,69334,Real Madrid,Barcelona,2011-12-10,2011/2012
17,318,69245,Real Madrid,Barcelona,2011-04-16,2010/2011
18,335,69299,Barcelona,Real Madrid,2010-11-29,2010/2011
19,355,69259,Real Madrid,Barcelona,2010-04-10,2009/2010
20,364,69262,Barcelona,Real Madrid,2009-11-29,2009/2010
21,394,69249,Real Madrid,Barcelona,2009-05-02,2008/2009
22,376,69225,Barcelona,Real Madrid,2008-12-13,2008/2009
23,432,68361,Real Madrid,Barcelona,2008-05-07,2007/2008
24,442,68335,Barcelona,Real Madrid,2007-03-10,2006/2007
25,444,68330,Real Madrid,Barcelona,2006-10-22,2006/2007
26,474,68319,Real Madrid,Barcelona,2005-11-19,2005/2006
